Date,ABN,MONTE,BAPO,BARC,BAY,BBVA,BNP,CAIX,COMZ,CRAG,CRMU,DANK,DB,DZ,ERST,SWEN,HESLN,HSBC,INGB,INTE,KBCB,LBBW,LLOYDHLCO,NWIDE,NORD,NDLB,RABO,NWGHOLDCO,SAB,SANT,SEB,SOCG,STANLNHCO,SWED,UNIC,NIBC,VB
8/31/2022,379101,131831.966,742019,1579917.394,255637,614125,2521144,644611,443217,2001927,790695,506163.4255,1264268,598612,286901,307402.9852,203119,2438951.91,896635,1004937,318769,268131,999614.3927,303711.6761,537794.9803,,600151,886227.4377,238950.31,1499592,302155.2387,1393586,687157.9595,251448.261,854578,19110,64034
12/31/2021,379101,131831.966,742019,1579917.394,255637,614125,2521144,644611,443217,2001927,790695,506163.4255,1264268,598612,286901,307402.9852,203119,2438951.91,896635,1004937,318769,268131,999614.3927,303711.6761,537794.9803,,600151,886227.4377,238950.31,1499592,302155.2387,1393586,687157.9595,251448.261,854578,19110,64034
12/31/2020,376620,144653.531,705476,1445437.851,246611,683777,2381090,426242,478039,1893455,746402,530540.4475,1268886,565418,258539.4,294951.9948,210482,2289716.943,881616,936293,300713,262454,924775.7205,284247.8014,519609.9929,120720,596108,849816.0681,223271.654,1417718,285465.3724,1377392,607117.8488,242768.3067,871514,19110,64034
12/31/2019,355570,123978.395,260643.929,1281012.588,214424,642812,2061557,366263,432949,1701934,671372,482407.0134,1240179,531676,227485.89,276922.0122,198318,2265795.084,837082,759887,271869,242824,934692.8458,266321.7204,524421.0362,133840,554515,806700.1634,210779.235,1412780,257042.7379,1287925,601559.0158,215991.9083,793862,20327,59406
12/31/2018,361921,121667.605,235533.096,1202281.09,208993,623815,1943340,362563.805,432973,1563889,623769,459567.7179,1284075,495221,219640.356,279813.8895,154506,2087426.875,835295,733440,266575,228030,839919.7977,262413.4089,519451.958,150650,548201,726183.1884,210205.421,1352709,238650.9775,1243619,562805.4136,208039.8197,774822,19592,57377
12/31/2017,373848,128897.283,221383.218,1212352.643,205335,636736,1853398,358502.882,422473,1490576,578209,454722.8834,1411308,482089,204322.392,267035.5074,150201,1953822.489,795095,740257,273539,224334,865544.8471,248293.7848,549045.988,157608,563381,780716.3353,208126.534,1338213,245706.0125,1219657,513536.8185,211468.5838,776565.024,20027,57178
12/31/2016,376549,146967.126,219753.655,1345139.339,203572,676428,1980169,324371.7,456848,1465306,570169,448038.7679,1538883,488560,193274.074,259987.8552,157314,2094826.308,794682,675781,257843,234955,907138.7459,247306.2798,583451.9788,168806,622069,883123.9653,199424.743,1236426,258784.6594,1298396,570754.2196,211281.7534,816344.472,21675,58020
12/31/2015,373726,159613.874,209563.618,1437473.745,207616,694573,1901971,319050.925,510810,1473720,533113,421212.1852,1575379,390254,186007.058,261391.4572,164580,2050308.324,793299,627903,236545,225030,1038043.194,249746.2432,616029.9978,172535,637630,1036474.724,195860.11,1241507,256947.4426,1271716,546771.5934,221170.281,806947.852,21231,59388
12/31/2014,371990,174428.332,,1670351.538,224641,580333,1990658,313390.881,540615,1536744,508879,443918.206,1650268,386449,183420.877,283961.7967,172139,2021150.246,933440,601365,228653,259991,1044200.689,256869.6349,639905.0255,189705,642215,1279684.086,152857.288,1176582,264623.9684,1249264,561279.2528,211550.1128,791381.838,21275,65196
12/31/2013,358454,192280.208,,1540611.282,244141,538132,1726181,316373.567,531386,1470928,477210,413036.4059,1556434,372292,185332.826,268752.6959,171035,1804644.69,1027130,579116,224172,268258,970821.3423,218924.3297,601225.0461,192654,634102,1160275.343,153035.879,1036121,266894.2822,1160223,455414.9556,193344.4002,775863.46,20534,71955
12/31/2012,380367,212563.397,,1761059.873,272143,593983,1820424,325582.902,609773,1571750,469460,448594.8453,1968035,394595,197486,265945.9287,192484,1903374.575,1111083,623676,241049,326004,1099333.164,217743.1859,640173.0356,217850,707783,1531115.239,152286.313,1185302,273289.24,1197338,443835.717,203301.5915,861590.076,24095,80004
12/31/2011,393262,229720.236,,1793749.807,295268,557630,1886918,249710.119,636960,1674316,441893,443808.7879,2109443,395151,194826,265174.4065,158491,1840685.674,1223202,591463,268610,363569,1106123.228,225972.9883,690084.0348,221087,686664,1712920.801,94503.236,1168667,253223.9038,1130260,424689.77,197650.4144,858769.502,26744,79393
12/31/2010,367487,221735.704,,1665821.04,300734,509727,1920558,36282.589,725641,1541380,410389,417216.6607,1846897,372737,189212,228975.5087,161041,1714266.351,1200372,604157,302149,364483,1102475.295,204578.0492,556301.0373,222723,611779,1606700.844,91410.666,1136586.225,230654.0689,1081097,356063.5122,179691.6538,861784.33,26211,77082
12/31/2009,,207358.968,,1486203.442,324757,499216,1985399,34784.93,817527,1505378,408226,402594.9686,1455545,378292,185587,199082.4515,164994,1553435.16,1123865,571073,305207,400079,1106559.76,206450.1928,484999.0215,232536,569600,1795008.697,77525.516,1020831.555,215589.8451,976863,284117.1057,166406.6833,865867.759,27493,77855
12/31/2008,,198692.888,,2078156.74,410401,510727,2016583,31088.223,599340,1605884,415670,462766.6324,2162039,418407,189545,189531.6022,179897,1746150.198,1302735,586079,337851,440280,435279.2023,213827.934,456206.9743,238213,578661,2400805.207,75930,974985.91,220785.5182,1089116,296660.5619,156946.6813,987371.157,,74291
12/31/2007,,153087.79,,1626851.198,402746,474261,1641804,25666.974,594888,1367749,,435127.4471,1880911,,189116,188886.9004,,1517629.173,1272979,520553,336510,,466172.4453,217016.9599,371702.9662,,539128,2377587.984,72171.498,855356.82,239984.9325,1037355,210544.0737,162934.1602,959438.533,,
12/31/2006,,150096.822,,1438786.077,328389.548,384706.459,1389966,22456.065,593020,1221444,,354712.3158,1546686,,170799,191002.6886,,1323952.473,1185092,541810,306522,,495360.114,194365.5683,331567.9909,,527078,1225869.123,67873.684,777644.106,206922.9686,923409,188607.28,143260.2449,780541.769,,
12/31/2005,,146489.816,,1309778.958,318002.9,368920.788,1212086,27743.658,426172,1026535,,316122.0293,958025,,146302,161591.6224,,1190067.479,1120214,256029,308045,,438009.6025,165628.5704,312237.0006,,479885,1075973.181,48813.687,766480.215,195252.1052,807103,171476.4221,121800.903,747847.762,,
12/31/2004,,135472.42,,736486.7314,319036.995,315635.893,965378,27035.597,413854,903410,,266924.4605,810464,,133859,138984.9089,,868697.6208,849716,259709,270592,,387537.0222,155618.6551,29610.5518,,460570,777883.4506,42532.718,627986.042,172127.7221,656438,100597.4088,107932.0443,249527.433,,
12/31/2003,,116550.207,,605452.2348,303363.29,263703.786,749718,,365513,757971,,212942.0419,775412,,122905,132664.5146,,752258.7718,753927,242980,214613.482,,342973.4591,144879.5251,249471.0096,,,602412.236,27830.323,321275.726,135619.6274,518438,88541.60473,105248.8461,224270.153,,
12/31/2002,,122531.422,,594783.2999,327640.746,255862.627,679317,,406773,489904,,211699.0744,721361,,116018,134073.4609,,667321.0311,694011,264256,211335,,374407.9603,117667.452,237712.0168,,,587732.5163,24682.563,294197.683,130700.7713,481959,100245.8104,99929.33973,199896.099,,
12/31/2001,,110332.796,,555966.7638,317161.99,284665.753,797582,,485471,479121,,182397.238,870115,,82870,120572.2434,,722605.7006,679602,298166.013,218006,,367416.8231,115183.8839,24678.72055,,,556689.2338,23671.827,327839.853,119762.931,492920,111144.4495,98152.39372,195845.867,,
