Date,CISS
1/8/1999,0.0942
1/15/1999,0.1964
1/22/1999,0.188
1/29/1999,0.1492
2/5/1999,0.1748
2/12/1999,0.2131
2/19/1999,0.2177
2/26/1999,0.2004
3/5/1999,0.1669
3/12/1999,0.1554
3/19/1999,0.0763
3/26/1999,0.1237
4/2/1999,0.0868
4/9/1999,0.0927
4/16/1999,0.0645
4/23/1999,0.1055
4/30/1999,0.0748
5/7/1999,0.0619
5/14/1999,0.0567
5/21/1999,0.0567
5/28/1999,0.0569
6/4/1999,0.0495
6/11/1999,0.0536
6/18/1999,0.0485
6/25/1999,0.0401
7/2/1999,0.0422
7/9/1999,0.0272
7/16/1999,0.0342
7/23/1999,0.0868
7/30/1999,0.0875
8/6/1999,0.0823
8/13/1999,0.0832
8/20/1999,0.084
8/27/1999,0.0691
9/3/1999,0.0607
9/10/1999,0.0573
9/17/1999,0.0586
9/24/1999,0.0702
10/1/1999,0.0732
10/8/1999,0.0786
10/15/1999,0.1063
10/22/1999,0.1068
10/29/1999,0.1034
11/5/1999,0.0561
11/12/1999,0.0497
11/19/1999,0.0547
11/26/1999,0.0618
12/3/1999,0.0519
12/10/1999,0.0736
12/17/1999,0.0651
12/24/1999,0.0612
12/31/1999,0.0583
1/7/2000,0.1044
1/14/2000,0.0774
1/21/2000,0.0564
1/28/2000,0.0925
2/4/2000,0.0848
2/11/2000,0.0676
2/18/2000,0.0527
2/25/2000,0.0918
3/3/2000,0.0774
3/10/2000,0.0784
3/17/2000,0.0704
3/24/2000,0.0658
3/31/2000,0.1101
4/7/2000,0.1115
4/14/2000,0.1476
4/21/2000,0.1243
4/28/2000,0.1868
5/5/2000,0.2139
5/12/2000,0.2025
5/19/2000,0.1784
5/26/2000,0.2486
6/2/2000,0.2248
6/9/2000,0.1496
6/16/2000,0.1248
6/23/2000,0.1731
6/30/2000,0.1773
7/7/2000,0.1243
7/14/2000,0.1195
7/21/2000,0.1756
7/28/2000,0.1658
8/4/2000,0.1879
8/11/2000,0.1433
8/18/2000,0.1152
8/25/2000,0.1024
9/1/2000,0.1383
9/8/2000,0.1758
9/15/2000,0.144
9/22/2000,0.1883
9/29/2000,0.1472
10/6/2000,0.1343
10/13/2000,0.2055
10/20/2000,0.2338
10/27/2000,0.2263
11/3/2000,0.149
11/10/2000,0.1402
11/17/2000,0.1474
11/24/2000,0.1809
12/1/2000,0.2093
12/8/2000,0.1755
12/15/2000,0.1766
12/22/2000,0.2043
12/29/2000,0.1314
1/5/2001,0.243
1/12/2001,0.2395
1/19/2001,0.2078
1/26/2001,0.1205
2/2/2001,0.1516
2/9/2001,0.1403
2/16/2001,0.189
2/23/2001,0.1915
3/2/2001,0.1836
3/9/2001,0.0935
3/16/2001,0.1387
3/23/2001,0.1895
3/30/2001,0.1739
4/6/2001,0.1872
4/13/2001,0.2073
4/20/2001,0.2164
4/27/2001,0.1979
5/4/2001,0.1233
5/11/2001,0.1237
5/18/2001,0.097
5/25/2001,0.1362
6/1/2001,0.1076
6/8/2001,0.1014
6/15/2001,0.1122
6/22/2001,0.0937
6/29/2001,0.1679
7/6/2001,0.1777
7/13/2001,0.1754
7/20/2001,0.1877
7/27/2001,0.1487
8/3/2001,0.1097
8/10/2001,0.1264
8/17/2001,0.1708
8/24/2001,0.137
8/31/2001,0.1732
9/7/2001,0.2891
9/14/2001,0.3324
9/21/2001,0.3967
9/28/2001,0.3816
10/5/2001,0.3952
10/12/2001,0.3274
10/19/2001,0.3198
10/26/2001,0.3391
11/2/2001,0.3406
11/9/2001,0.3489
11/16/2001,0.363
11/23/2001,0.3202
11/30/2001,0.2851
12/7/2001,0.3234
12/14/2001,0.2777
12/21/2001,0.3032
12/28/2001,0.2353
1/4/2002,0.3101
1/11/2002,0.2448
1/18/2002,0.3003
1/25/2002,0.2791
2/1/2002,0.2515
2/8/2002,0.2859
2/15/2002,0.1929
2/22/2002,0.2447
3/1/2002,0.221
3/8/2002,0.2099
3/15/2002,0.1428
3/22/2002,0.1439
3/29/2002,0.0983
4/5/2002,0.1625
4/12/2002,0.1766
4/19/2002,0.1832
4/26/2002,0.1559
5/3/2002,0.2006
5/10/2002,0.1624
5/17/2002,0.1656
5/24/2002,0.15
5/31/2002,0.1591
6/7/2002,0.1699
6/14/2002,0.1696
6/21/2002,0.1644
6/28/2002,0.1523
7/5/2002,0.1938
7/12/2002,0.188
7/19/2002,0.1942
7/26/2002,0.2234
8/2/2002,0.2279
8/9/2002,0.239
8/16/2002,0.1926
8/23/2002,0.2302
8/30/2002,0.2237
9/6/2002,0.2153
9/13/2002,0.2346
9/20/2002,0.2314
9/27/2002,0.2388
10/4/2002,0.2615
10/11/2002,0.2762
10/18/2002,0.2686
10/25/2002,0.2586
11/1/2002,0.2192
11/8/2002,0.2377
11/15/2002,0.2056
11/22/2002,0.1835
11/29/2002,0.2171
12/6/2002,0.2083
12/13/2002,0.2073
12/20/2002,0.2505
12/27/2002,0.1397
1/3/2003,0.1921
1/10/2003,0.1678
1/17/2003,0.2087
1/24/2003,0.219
1/31/2003,0.2133
2/7/2003,0.1819
2/14/2003,0.2126
2/21/2003,0.1623
2/28/2003,0.2287
3/7/2003,0.195
3/14/2003,0.2083
3/21/2003,0.2278
3/28/2003,0.193
4/4/2003,0.2103
4/11/2003,0.1696
4/18/2003,0.1451
4/25/2003,0.1424
5/2/2003,0.1168
5/9/2003,0.1571
5/16/2003,0.1028
5/23/2003,0.2331
5/30/2003,0.1786
6/6/2003,0.212
6/13/2003,0.1835
6/20/2003,0.2103
6/27/2003,0.167
7/4/2003,0.124
7/11/2003,0.1652
7/18/2003,0.0979
7/25/2003,0.0891
8/1/2003,0.0884
8/8/2003,0.0859
8/15/2003,0.0892
8/22/2003,0.1868
8/29/2003,0.1326
9/5/2003,0.0977
9/12/2003,0.0856
9/19/2003,0.0889
9/26/2003,0.0997
10/3/2003,0.1409
10/10/2003,0.1264
10/17/2003,0.1006
10/24/2003,0.0888
10/31/2003,0.0913
11/7/2003,0.0951
11/14/2003,0.07
11/21/2003,0.0736
11/28/2003,0.0865
12/5/2003,0.078
12/12/2003,0.0626
12/19/2003,0.0481
12/26/2003,0.0469
1/2/2004,0.0677
1/9/2004,0.139
1/16/2004,0.1147
1/23/2004,0.1012
1/30/2004,0.0824
2/6/2004,0.061
2/13/2004,0.0889
2/20/2004,0.0866
2/27/2004,0.0859
3/5/2004,0.1112
3/12/2004,0.1084
3/19/2004,0.0942
3/26/2004,0.1008
4/2/2004,0.0962
4/9/2004,0.1275
4/16/2004,0.0931
4/23/2004,0.0855
4/30/2004,0.0897
5/7/2004,0.076
5/14/2004,0.1054
5/21/2004,0.0739
5/28/2004,0.062
6/4/2004,0.0586
6/11/2004,0.0559
6/18/2004,0.0509
6/25/2004,0.0386
7/2/2004,0.0425
7/9/2004,0.032
7/16/2004,0.0417
7/23/2004,0.0721
7/30/2004,0.0855
8/6/2004,0.0894
8/13/2004,0.0653
8/20/2004,0.0454
8/27/2004,0.0752
9/3/2004,0.083
9/10/2004,0.0714
9/17/2004,0.0679
9/24/2004,0.0627
10/1/2004,0.0827
10/8/2004,0.0541
10/15/2004,0.0722
10/22/2004,0.0687
10/29/2004,0.066
11/5/2004,0.0621
11/12/2004,0.0517
11/19/2004,0.0513
11/26/2004,0.0445
12/3/2004,0.0597
12/10/2004,0.0479
12/17/2004,0.0544
12/24/2004,0.0468
12/31/2004,0.0467
1/7/2005,0.0807
1/14/2005,0.0568
1/21/2005,0.0465
1/28/2005,0.0482
2/4/2005,0.089
2/11/2005,0.0594
2/18/2005,0.0574
2/25/2005,0.0939
3/4/2005,0.0656
3/11/2005,0.0798
3/18/2005,0.0865
3/25/2005,0.0726
4/1/2005,0.0565
4/8/2005,0.0668
4/15/2005,0.0838
4/22/2005,0.1177
4/29/2005,0.1262
5/6/2005,0.1024
5/13/2005,0.1176
5/20/2005,0.0932
5/27/2005,0.0755
6/3/2005,0.1155
6/10/2005,0.0657
6/17/2005,0.1294
6/24/2005,0.0883
7/1/2005,0.1084
7/8/2005,0.0959
7/15/2005,0.0769
7/22/2005,0.1049
7/29/2005,0.063
8/5/2005,0.0852
8/12/2005,0.0667
8/19/2005,0.063
8/26/2005,0.0504
9/2/2005,0.0729
9/9/2005,0.0665
9/16/2005,0.0687
9/23/2005,0.0765
9/30/2005,0.1012
10/7/2005,0.1226
10/14/2005,0.1226
10/21/2005,0.105
10/28/2005,0.1365
11/4/2005,0.1485
11/11/2005,0.1051
11/18/2005,0.0947
11/25/2005,0.0719
12/2/2005,0.1007
12/9/2005,0.0565
12/16/2005,0.076
12/23/2005,0.0593
12/30/2005,0.0374
1/6/2006,0.075
1/13/2006,0.0774
1/20/2006,0.0793
1/27/2006,0.1076
2/3/2006,0.0875
2/10/2006,0.099
2/17/2006,0.0708
2/24/2006,0.0728
3/3/2006,0.1057
3/10/2006,0.1144
3/17/2006,0.0552
3/24/2006,0.0523
3/31/2006,0.0969
4/7/2006,0.0871
4/14/2006,0.0766
4/21/2006,0.0667
4/28/2006,0.1059
5/5/2006,0.0743
5/12/2006,0.0992
5/19/2006,0.1835
5/26/2006,0.1485
6/2/2006,0.0942
6/9/2006,0.1301
6/16/2006,0.1673
6/23/2006,0.115
6/30/2006,0.1259
7/7/2006,0.1138
7/14/2006,0.1262
7/21/2006,0.1095
7/28/2006,0.1169
8/4/2006,0.1332
8/11/2006,0.0867
8/18/2006,0.0686
8/25/2006,0.0839
9/1/2006,0.0568
9/8/2006,0.0804
9/15/2006,0.0641
9/22/2006,0.0841
9/29/2006,0.0747
10/6/2006,0.0569
10/13/2006,0.05
10/20/2006,0.0681
10/27/2006,0.0352
11/3/2006,0.0417
11/10/2006,0.0434
11/17/2006,0.0399
11/24/2006,0.0361
12/1/2006,0.0963
12/8/2006,0.0549
12/15/2006,0.05
12/22/2006,0.0347
12/29/2006,0.0388
1/5/2007,0.0824
1/12/2007,0.0684
1/19/2007,0.0321
1/26/2007,0.0613
2/2/2007,0.0505
2/9/2007,0.0568
2/16/2007,0.0928
2/23/2007,0.0481
3/2/2007,0.1644
3/9/2007,0.1392
3/16/2007,0.1969
3/23/2007,0.1861
3/30/2007,0.1015
4/6/2007,0.0895
4/13/2007,0.0813
4/20/2007,0.1093
4/27/2007,0.0664
5/4/2007,0.0579
5/11/2007,0.0621
5/18/2007,0.0506
5/25/2007,0.0623
6/1/2007,0.0704
6/8/2007,0.0979
6/15/2007,0.0767
6/22/2007,0.0419
6/29/2007,0.0798
7/6/2007,0.0505
7/13/2007,0.109
7/20/2007,0.1138
7/27/2007,0.152
8/3/2007,0.203
8/10/2007,0.3045
8/17/2007,0.3329
8/24/2007,0.3454
8/31/2007,0.2971
9/7/2007,0.3083
9/14/2007,0.281
9/21/2007,0.348
9/28/2007,0.3043
10/5/2007,0.2424
10/12/2007,0.2272
10/19/2007,0.2079
10/26/2007,0.2668
11/2/2007,0.2421
11/9/2007,0.2518
11/16/2007,0.3061
11/23/2007,0.4018
11/30/2007,0.4045
12/7/2007,0.36
12/14/2007,0.3615
12/21/2007,0.3435
12/28/2007,0.1953
1/4/2008,0.3105
1/11/2008,0.4105
1/18/2008,0.4881
1/25/2008,0.6001
2/1/2008,0.4885
2/8/2008,0.5003
2/15/2008,0.4847
2/22/2008,0.3813
2/29/2008,0.4461
3/7/2008,0.4916
3/14/2008,0.5447
3/21/2008,0.5636
3/28/2008,0.53
4/4/2008,0.4899
4/11/2008,0.4331
4/18/2008,0.5353
4/25/2008,0.448
5/2/2008,0.363
5/9/2008,0.3574
5/16/2008,0.3764
5/23/2008,0.4514
5/30/2008,0.3734
6/6/2008,0.5402
6/13/2008,0.4656
6/20/2008,0.4138
6/27/2008,0.4269
7/4/2008,0.4888
7/11/2008,0.391
7/18/2008,0.4172
7/25/2008,0.377
8/1/2008,0.3654
8/8/2008,0.3957
8/15/2008,0.3813
8/22/2008,0.3856
8/29/2008,0.3239
9/5/2008,0.4446
9/12/2008,0.4817
9/19/2008,0.5549
9/26/2008,0.5708
10/3/2008,0.7057
10/10/2008,0.7389
10/17/2008,0.7162
10/24/2008,0.7514
10/31/2008,0.7626
11/7/2008,0.7707
11/14/2008,0.7576
11/21/2008,0.7828
11/28/2008,0.804
12/5/2008,0.7564
12/12/2008,0.8401
12/19/2008,0.7764
12/26/2008,0.4282
1/2/2009,0.5442
1/9/2009,0.7357
1/16/2009,0.7944
1/23/2009,0.7648
1/30/2009,0.7575
2/6/2009,0.7214
2/13/2009,0.6672
2/20/2009,0.7681
2/27/2009,0.7733
3/6/2009,0.793
3/13/2009,0.7513
3/20/2009,0.7515
3/27/2009,0.7871
4/3/2009,0.7637
4/10/2009,0.5885
4/17/2009,0.6915
4/24/2009,0.6777
5/1/2009,0.66
5/8/2009,0.7247
5/15/2009,0.6179
5/22/2009,0.5654
5/29/2009,0.4357
6/5/2009,0.6371
6/12/2009,0.5551
6/19/2009,0.6743
6/26/2009,0.6619
7/3/2009,0.623
7/10/2009,0.6035
7/17/2009,0.5962
7/24/2009,0.5223
7/31/2009,0.5602
8/7/2009,0.5268
8/14/2009,0.5054
8/21/2009,0.4939
8/28/2009,0.409
9/4/2009,0.372
9/11/2009,0.4676
9/18/2009,0.3185
9/25/2009,0.3936
10/2/2009,0.433
10/9/2009,0.4596
10/16/2009,0.3899
10/23/2009,0.3236
10/30/2009,0.4971
11/6/2009,0.4138
11/13/2009,0.3357
11/20/2009,0.3854
11/27/2009,0.4106
12/4/2009,0.3944
12/11/2009,0.3942
12/18/2009,0.3787
12/25/2009,0.2638
1/1/2010,0.2116
1/8/2010,0.2944
1/15/2010,0.3069
1/22/2010,0.3736
1/29/2010,0.2973
2/5/2010,0.3439
2/12/2010,0.3154
2/19/2010,0.3047
2/26/2010,0.3223
3/5/2010,0.3184
3/12/2010,0.2207
3/19/2010,0.2473
3/26/2010,0.2109
4/2/2010,0.1879
4/9/2010,0.2194
4/16/2010,0.2436
4/23/2010,0.2724
4/30/2010,0.306
5/7/2010,0.4112
5/14/2010,0.4276
5/21/2010,0.4194
5/28/2010,0.4237
6/4/2010,0.4153
6/11/2010,0.4143
6/18/2010,0.3235
6/25/2010,0.3749
7/2/2010,0.4672
7/9/2010,0.375
7/16/2010,0.3864
7/23/2010,0.3585
7/30/2010,0.2829
8/6/2010,0.2882
8/13/2010,0.3538
8/20/2010,0.3359
8/27/2010,0.3668
9/3/2010,0.3633
9/10/2010,0.3648
9/17/2010,0.3439
9/24/2010,0.3955
10/1/2010,0.3051
10/8/2010,0.3372
10/15/2010,0.2923
10/22/2010,0.3152
10/29/2010,0.255
11/5/2010,0.2807
11/12/2010,0.2651
11/19/2010,0.2747
11/26/2010,0.317
12/3/2010,0.3696
12/10/2010,0.252
12/17/2010,0.2464
12/24/2010,0.1771
12/31/2010,0.1871
1/7/2011,0.2165
1/14/2011,0.2246
1/21/2011,0.2168
1/28/2011,0.1845
2/4/2011,0.1671
2/11/2011,0.1412
2/18/2011,0.1746
2/25/2011,0.1448
3/4/2011,0.177
3/11/2011,0.1352
3/18/2011,0.2077
3/25/2011,0.2147
4/1/2011,0.1797
4/8/2011,0.1959
4/15/2011,0.1568
4/22/2011,0.2211
4/29/2011,0.1496
5/6/2011,0.209
5/13/2011,0.1852
5/20/2011,0.1452
5/27/2011,0.1551
6/3/2011,0.1854
6/10/2011,0.1776
6/17/2011,0.2064
6/24/2011,0.1908
7/1/2011,0.2459
7/8/2011,0.2825
7/15/2011,0.3427
7/22/2011,0.3176
7/29/2011,0.3116
8/5/2011,0.4258
8/12/2011,0.5162
8/19/2011,0.495
8/26/2011,0.4108
9/2/2011,0.4093
9/9/2011,0.531
9/16/2011,0.532
